"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Aceite Panaderia","7500000000025","Verduras","2027-04-23","Brillante","308.42","54"
"Cereal Lacteos","7500000000026","Bebidas","2026-12-03","Activia","472.89","54"
"Chiles Verduras","7500000000027","Alimentos","2027-11-27","Nutrioli","305.97","414"
"Leche Alimentos","7500000000028","Desayuno","2027-06-28","McCormick","15.64","317"
"Arroz Condimentos","7500000000029","Desayuno","2027-04-14","Bimbo","17.73","477"
"Yogurt Panaderia","7500000000030","Panaderia","2028-01-03","Brillante","485.25","415"
"Chocolate Verduras","7500000000031","Desayuno","2027-11-19","Lala","69.71","162"
"Leche Conservas","7500000000032","Conservas","2028-01-05","Bimbo","161.36","138"
"Pan Condimentos","7500000000033","Panaderia","2027-02-13","McCormick","236.56","79"
"Agua Verduras","7500000000034","Condimentos","2027-10-02","Lala","470.15","342"
"Tomate Alimentos","7500000000035","Lacteos","2027-11-26","Quaker","276.55","103"
"Limon Panaderia","7500000000036","Condimentos","2026-07-30","Activia","79.12","106"
"Queso Verduras","7500000000037","Conservas","2027-04-08","Tampico","69.65","429"
"Mostaza Desayuno","7500000000038","Condimentos","2028-03-25","Quaker","378.79","104"
"Naranja Lacteos","7500000000039","Frutas","2028-02-25","Bimbo","183.98","295"
"Queso Alimentos","7500000000040","Desayuno","2028-01-09","Tampico","404.29","365"
"Cafe Panaderia","7500000000041","Bebidas","2027-12-30","Tampico","469.28","72"
"Platano Carnes","7500000000042","Desayuno","2027-01-10","Bimbo","387.71","66"
"Cereal Conservas","7500000000043","Lacteos","2027-11-27","Bimbo","38.35","299"
"Carne Alimentos","7500000000044","Lacteos","2027-05-20","McCormick","439.27","396"
"Pimienta Verduras","7500000000045","Frutas","2027-01-15","McCormick","140.71","14"
"Aceite Condimentos","7500000000046","Carnes","2027-06-23","Tampico","101.21","304"
"Avena Frutas","7500000000047","Panaderia","2027-08-04","Activia","389.1","165"
"Queso Desayuno","7500000000048","Carnes","2026-10-31","Heinz","398.47","208"
"Agua Verduras","7500000000049","Lacteos","2028-01-26","Activia","148.52","178"
"Salsa Carnes","7500000000050","Carnes","2027-05-22","Brillante","284.77","419"
"Arroz Verduras","7500000000051","Verduras","2027-11-21","Nutrioli","204.38","413"
"Refresco Frutas","7500000000052","Lacteos","2027-01-24","Heinz","174.6","494"
"Avena Verduras","7500000000053","Condimentos","2026-11-05","Rosarita","212.11","347"
"Refresco Lacteos","7500000000054","Bebidas","2027-04-05","Quaker","209.34","436"
"Carne Desayuno","7500000000055","Alimentos","2026-11-07","Nutrioli","360.46","130"
"Ajo Lacteos","7500000000056","Alimentos","2027-05-16","Rosarita","97.06","40"
"Jugo Carnes","7500000000057","Carnes","2027-03-27","Bimbo","209.75","20"
"Agua Condimentos","7500000000058","Frutas","2026-09-20","Quaker","414.51","52"
"Refresco Carnes","7500000000059","Condimentos","2027-12-02","Brillante","442.57","364"
"Agua Carnes","7500000000060","Conservas","2026-08-23","Quaker","443.32","158"
"Papas Desayuno","7500000000061","Desayuno","2026-10-30","Activia","387.78","50"
"Huevo Conservas","7500000000062","Bebidas","2028-01-12","Heinz","100.73","442"
"Atun Panaderia","7500000000063","Desayuno","2028-02-10","Bimbo","194.52","147"
"Sardina Conservas","7500000000064","Alimentos","2027-11-10","Quaker","277.44","463"
"Vinagre Alimentos","7500000000065","Condimentos","2027-03-07","Quaker","62.32","145"
"Frijoles Frutas","7500000000066","Conservas","2026-10-23","Bimbo","348.68","318"
"Manzana Verduras","7500000000067","Bebidas","2027-08-16","Nescafe","244.49","115"
"Harina Desayuno","7500000000068","Carnes","2026-11-12","Rosarita","108.61","56"
"Chiles Lacteos","7500000000069","Verduras","2026-07-21","Quaker","465.65","249"
"Cerveza Conservas","7500000000070","Alimentos","2027-01-03","Lala","316.93","77"
"Ketchup Carnes","7500000000071","Condimentos","2026-10-02","Nutrioli","247.83","126"
"Aceite Frutas","7500000000072","Condimentos","2026-08-21","Quaker","217.57","189"
"Cereal Conservas","7500000000073","Panaderia","2027-09-16","Tampico","321.24","195"
"Ketchup Carnes","7500000000074","Conservas","2027-08-19","Rosarita","109.16","241"
"Cerveza Alimentos","7500000000075","Desayuno","2026-10-25","Tampico","461.45","457"
"Papas Lacteos","7500000000076","Lacteos","2027-08-24","Quaker","262.22","456"
"Aceite Alimentos","7500000000077","Conservas","2027-05-18","Bimbo","136.62","136"
"Frijoles Frutas","7500000000078","Condimentos","2027-03-28","Rosarita","284.84","115"
"Soya Bebidas","7500000000079","Alimentos","2027-01-14","Brillante","223.56","425"
"Galletas Verduras","7500000000080","Condimentos","2026-07-16","Lala","472.58","12"
"Pan Frutas","7500000000081","Conservas","2026-10-18","McCormick","122.63","278"
"Mantequilla Alimentos","7500000000082","Desayuno","2026-10-05","Activia","161.74","479"
"Agua Desayuno","7500000000083","Desayuno","2028-01-05","Nescafe","419.42","394"
"Frijoles Panaderia","7500000000084","Bebidas","2026-12-07","Activia","182.58","273"
"Mostaza Desayuno","7500000000085","Conservas","2026-12-03","Nutrioli","92.13","141"
"Pan Conservas","7500000000086","Panaderia","2027-05-18","Heinz","427.69","289"
"Naranja Verduras","7500000000087","Panaderia","2027-12-11","Nescafe","46.9","303"
"Ketchup Panaderia","7500000000088","Desayuno","2027-12-06","Heinz","311.85","100"
"Sardina Frutas","7500000000089","Carnes","2027-06-16","Quaker","11.72","392"
"Mostaza Carnes","7500000000090","Verduras","2027-06-11","Bimbo","48.32","343"
"Vino Condimentos","7500000000091","Alimentos","2027-08-08","Tampico","13.49","13"
"Papas Verduras","7500000000092","Panaderia","2028-01-11","Nutrioli","437.83","327"
"Azucar Alimentos","7500000000093","Desayuno","2026-11-13","Lala","231.72","277"
"Mantequilla Panaderia","7500000000094","Bebidas","2026-10-01","Lala","281.45","378"
"Manzana Lacteos","7500000000095","Verduras","2027-11-23","Lala","195.31","475"
"Chiles Panaderia","7500000000096","Alimentos","2027-06-03","Quaker","332.24","235"
"Ketchup Bebidas","7500000000097","Alimentos","2026-07-22","McCormick","184.09","259"
"Jugo Desayuno","7500000000098","Panaderia","2026-10-28","Nescafe","463.56","63"
"Frijoles Desayuno","7500000000099","Frutas","2027-03-16","Heinz","390.48","225"
"Manzana Bebidas","7500000000100","Bebidas","2028-01-22","Nescafe","254.83","113"
"Carne Verduras","7500000000101","Lacteos","2028-02-23","Lala","29.68","262"
"Soya Condimentos","7500000000102","Bebidas","2027-06-03","Brillante","38.84","113"
"Mayonesa Desayuno","7500000000103","Bebidas","2027-11-05","Tampico","284.65","247"
"Tomate Lacteos","7500000000104","Desayuno","2027-03-10","Tampico","358.41","374"
"Vinagre Panaderia","7500000000105","Carnes","2026-11-25","Rosarita","489.88","287"
"Carne Carnes","7500000000106","Carnes","2026-10-09","Brillante","394.25","430"
"Sal Conservas","7500000000107","Alimentos","2027-08-16","Bimbo","29.23","177"
"Salsa Alimentos","7500000000108","Condimentos","2028-03-07","Lala","39.91","301"
"Agua Desayuno","7500000000109","Lacteos","2027-06-02","Activia","454.61","11"
"Pollo Verduras","7500000000110","Condimentos","2027-10-06","Lala","139.05","253"
"Mantequilla Frutas","7500000000111","Frutas","2027-08-02","Nescafe","334.82","231"
"Manzana Conservas","7500000000112","Verduras","2026-10-08","Lala","21.67","255"
"Crema Lacteos","7500000000113","Alimentos","2026-12-29","Brillante","335.99","94"
"Cebolla Bebidas","7500000000114","Frutas","2027-04-01","Brillante","43.39","462"
"Salsa Panaderia","7500000000115","Conservas","2027-02-18","Nutrioli","253.28","99"
"Crema Verduras","7500000000116","Alimentos","2028-02-20","Brillante","183.04","257"
"Agua Desayuno","7500000000117","Carnes","2028-01-23","Bimbo","220.18","281"
"Limon Frutas","7500000000118","Carnes","2026-07-17","Nescafe","243.65","114"
"Sardina Verduras","7500000000119","Frutas","2026-12-08","Lala","278.28","422"
"Ajo Conservas","7500000000120","Carnes","2026-07-06","Bimbo","68.71","265"
"Papas Carnes","7500000000121","Conservas","2028-01-24","Bimbo","102.03","446"
"Cereal Desayuno","7500000000122","Conservas","2027-05-24","Brillante","333.94","154"
"Jugo Panaderia","7500000000123","Carnes","2027-05-04","Nescafe","223.14","302"
"Salsa Carnes","7500000000124","Frutas","2026-10-06","Heinz","496.54","29"
"Tomate Verduras","7500000000125","Bebidas","2026-12-21","McCormick","380.4","273"
"Agua Bebidas","7500000000126","Verduras","2026-12-13","Brillante","221.15","358"
"Agua Alimentos","7500000000127","Lacteos","2026-10-11","Bimbo","211.58","496"
"Mostaza Frutas","7500000000128","Lacteos","2027-02-09","Nutrioli","34.96","426"
"Platano Panaderia","7500000000129","Alimentos","2026-10-10","Rosarita","253.52","477"
"Galletas Verduras","7500000000130","Carnes","2027-08-14","Activia","440.6","200"
"Vinagre Desayuno","7500000000131","Panaderia","2026-08-09","Nutrioli","88.89","174"
"Ajo Bebidas","7500000000132","Alimentos","2027-01-15","Heinz","466.91","463"
"Pan Bebidas","7500000000133","Panaderia","2027-11-21","Heinz","458.25","194"
"Frijoles Lacteos","7500000000134","Bebidas","2027-04-30","Tampico","498.55","191"
"Naranja Verduras","7500000000135","Condimentos","2027-06-14","Lala","215.98","309"
"Sardina Desayuno","7500000000136","Verduras","2028-03-31","Lala","202.99","432"
"Arroz Conservas","7500000000137","Condimentos","2027-06-27","Activia","403.62","100"
"Galletas Condimentos","7500000000138","Frutas","2028-01-31","Heinz","290.21","105"
"Agua Panaderia","7500000000139","Alimentos","2027-11-24","Tampico","219.05","26"
"Soya Desayuno","7500000000140","Panaderia","2026-10-24","Tampico","86.46","87"
"Mantequilla Alimentos","7500000000141","Conservas","2026-08-26","Bimbo","451.27","52"
"Vino Condimentos","7500000000142","Bebidas","2028-01-24","Tampico","244.28","264"
"Pan Conservas","7500000000143","Bebidas","2027-07-05","Heinz","30.04","173"
"Ajo Verduras","7500000000144","Panaderia","2026-12-08","Activia","253.55","303"
"Zanahoria Condimentos","7500000000145","Frutas","2027-09-22","Nutrioli","255.62","439"
"Aceite Alimentos","7500000000146","Panaderia","2026-09-09","Heinz","397.3","198"
"Zanahoria Desayuno","7500000000147","Frutas","2027-05-28","McCormick","91.52","40"
"Leche Lacteos","7500000000148","Frutas","2027-05-18","Bimbo","158.69","140"
"Huevo Carnes","7500000000149","Lacteos","2027-06-02","Lala","158.34","168"
"Galletas Lacteos","7500000000150","Alimentos","2027-05-02","Activia","180.83","160"
"Pollo Verduras","7500000000151","Carnes","2027-10-12","Quaker","199.61","286"
"Chiles Carnes","7500000000152","Panaderia","2026-12-01","Bimbo","388.18","26"
"Refresco Bebidas","7500000000153","Condimentos","2027-11-24","Bimbo","180.51","343"
"Pimienta Conservas","7500000000154","Alimentos","2027-01-27","Activia","159.43","416"
"Mayonesa Condimentos","7500000000155","Alimentos","2027-12-16","Nescafe","476.74","402"
"Queso Frutas","7500000000156","Bebidas","2026-08-21","Nescafe","38.93","75"
"Pan Bebidas","7500000000157","Carnes","2027-11-09","Nutrioli","325.83","69"
"Manzana Conservas","7500000000158","Lacteos","2027-04-20","Brillante","209.37","400"
"Queso Verduras","7500000000159","Conservas","2027-04-08","Brillante","147.64","18"
"Sardina Lacteos","7500000000160","Condimentos","2026-08-19","Heinz","134.28","301"
"Chocolate Verduras","7500000000161","Frutas","2026-11-13","Heinz","107.74","203"
"Manzana Verduras","7500000000162","Conservas","2027-10-26","Activia","339.81","224"
"Mostaza Alimentos","7500000000163","Lacteos","2026-08-29","Quaker","289.97","421"
"Crema Conservas","7500000000164","Desayuno","2027-03-31","Brillante","418.38","314"
"Arroz Condimentos","7500000000165","Frutas","2026-11-22","Rosarita","301.32","399"
"Huevo Verduras","7500000000166","Alimentos","2027-09-30","Brillante","325.4","356"
"Agua Condimentos","7500000000167","Alimentos","2027-03-23","Brillante","428.85","284"
"Yogurt Verduras","7500000000168","Frutas","2027-09-05","Nutrioli","179.62","471"
"Aceite Verduras","7500000000169","Condimentos","2028-01-11","McCormick","95.75","458"
"Jugo Lacteos","7500000000170","Conservas","2026-11-25","Lala","138.16","217"
"Naranja Lacteos","7500000000171","Bebidas","2026-10-07","Nutrioli","274.19","250"
"Crema Lacteos","7500000000172","Panaderia","2027-07-12","Bimbo","179.86","39"
"Arroz Bebidas","7500000000173","Bebidas","2027-01-17","Activia","165.72","286"
"Harina Verduras","7500000000174","Desayuno","2027-01-14","Quaker","399.05","162"
"Yogurt Lacteos","7500000000175","Desayuno","2026-07-05","Nutrioli","43.24","472"
"Mantequilla Verduras","7500000000176","Frutas","2027-08-25","Rosarita","344.5","477"
"Manzana Lacteos","7500000000177","Bebidas","2027-08-21","Brillante","297.33","277"
"Arroz Verduras","7500000000178","Lacteos","2026-12-16","Nutrioli","303.06","158"
"Tomate Condimentos","7500000000179","Desayuno","2028-02-25","Brillante","335.53","351"
"Limon Desayuno","7500000000180","Conservas","2026-12-09","Lala","231.76","221"
"Frijoles Carnes","7500000000181","Conservas","2026-08-04","Quaker","285.79","90"
"Yogurt Bebidas","7500000000182","Conservas","2026-07-12","Tampico","85.42","112"
"Leche Frutas","7500000000183","Frutas","2027-10-16","Brillante","384.55","91"
"Aceite Desayuno","7500000000184","Carnes","2027-02-09","Nutrioli","243.86","395"
"Cereal Carnes","7500000000185","Condimentos","2027-05-03","Nutrioli","324.96","35"
"Aceite Alimentos","7500000000186","Desayuno","2028-02-03","McCormick","396.61","139"
"Cereal Carnes","7500000000187","Frutas","2027-01-14","Brillante","281.07","20"
"Cerveza Conservas","7500000000188","Desayuno","2027-05-12","Quaker","435.13","346"
"Cebolla Verduras","7500000000189","Bebidas","2026-09-26","Tampico","303.55","60"
"Tomate Panaderia","7500000000190","Frutas","2027-12-09","Rosarita","419.12","378"
"Pimienta Condimentos","7500000000191","Carnes","2027-03-25","Nescafe","28.55","168"
"Pimienta Conservas","7500000000192","Desayuno","2027-02-25","Brillante","393.8","311"
"Vino Carnes","7500000000193","Frutas","2027-06-30","Rosarita","488.43","294"
"Vinagre Carnes","7500000000194","Conservas","2027-09-28","Lala","167.89","464"
"Jugo Verduras","7500000000195","Bebidas","2028-02-11","Brillante","209.31","87"
"Manzana Bebidas","7500000000196","Condimentos","2028-03-09","Bimbo","192.18","180"
"Pollo Carnes","7500000000197","Verduras","2027-09-27","Rosarita","16.73","261"
"Refresco Bebidas","7500000000198","Alimentos","2026-08-29","Bimbo","209.23","389"
"Naranja Conservas","7500000000199","Desayuno","2027-03-07","Activia","288.6","430"
"Cafe Bebidas","7500000000200","Condimentos","2027-08-21","Activia","55.33","153"
"Carne Alimentos","7500000000201","Lacteos","2026-12-27","Nutrioli","192.17","477"
"Carne Verduras","7500000000202","Lacteos","2026-07-22","Heinz","216.83","472"
"Crema Alimentos","7500000000203","Desayuno","2026-07-15","Brillante","59.69","121"
"Agua Conservas","7500000000204","Condimentos","2027-09-02","Lala","436.09","255"
"Avena Frutas","7500000000205","Conservas","2027-08-15","Lala","51.4","257"
"Mayonesa Alimentos","7500000000206","Bebidas","2027-07-29","Tampico","296.08","125"
"Pollo Desayuno","7500000000207","Bebidas","2028-03-25","Rosarita","196.16","180"
"Leche Carnes","7500000000208","Verduras","2027-12-07","McCormick","161.76","115"
"Pan Lacteos","7500000000209","Condimentos","2026-07-10","Rosarita","347.76","16"
"Zanahoria Bebidas","7500000000210","Panaderia","2027-02-04","Bimbo","165.52","159"
"Queso Panaderia","7500000000211","Frutas","2027-12-21","Tampico","122.62","187"
"Ketchup Condimentos","7500000000212","Carnes","2026-07-26","McCormick","27.09","281"
"Pimienta Conservas","7500000000213","Verduras","2027-09-15","Tampico","364.61","128"
"Azucar Lacteos","7500000000214","Verduras","2028-02-07","Nescafe","428.67","241"
"Cebolla Frutas","7500000000215","Bebidas","2027-07-08","Quaker","137.51","242"
"Huevo Alimentos","7500000000216","Alimentos","2027-09-24","Quaker","186.77","241"
"Sardina Frutas","7500000000217","Panaderia","2028-01-15","Nutrioli","252.27","373"
"Cerveza Verduras","7500000000218","Desayuno","2027-03-26","Heinz","110.28","160"
"Sal Condimentos","7500000000219","Conservas","2027-04-07","Activia","462.46","347"
"Pan Conservas","7500000000220","Carnes","2027-06-29","Tampico","47.1","466"
"Galletas Carnes","7500000000221","Verduras","2026-11-04","Nescafe","413.23","495"
"Huevo Bebidas","7500000000222","Condimentos","2027-05-24","Tampico","159.26","295"
"Naranja Desayuno","7500000000223","Carnes","2027-01-12","Tampico","187.73","115"
"Crema Lacteos","7500000000224","Alimentos","2027-03-17","Activia","479.7","378"
"Ketchup Desayuno","7500000000225","Condimentos","2028-03-10","Brillante","472.14","23"
"Naranja Desayuno","7500000000226","Bebidas","2028-03-17","Nescafe","190.27","207"
"Platano Panaderia","7500000000227","Frutas","2027-12-07","Nutrioli","473.44","378"
"Arroz Lacteos","7500000000228","Bebidas","2028-02-28","Heinz","350.33","342"
"Pollo Panaderia","7500000000229","Lacteos","2027-07-31","Heinz","385.32","423"
"Mostaza Condimentos","7500000000230","Alimentos","2027-04-26","Nescafe","442.2","218"
"Galletas Conservas","7500000000231","Carnes","2028-03-22","Nescafe","192.91","101"
"Manzana Lacteos","7500000000232","Frutas","2027-12-26","Rosarita","86.46","403"
"Naranja Verduras","7500000000233","Condimentos","2026-07-18","Brillante","98.2","200"
"Carne Bebidas","7500000000234","Desayuno","2028-03-24","Rosarita","153.95","67"
"Tomate Desayuno","7500000000235","Conservas","2027-08-15","McCormick","134.53","296"
"Vinagre Lacteos","7500000000236","Alimentos","2026-11-12","Tampico","75.57","338"
"Mantequilla Conservas","7500000000237","Desayuno","2027-12-23","Lala","444.96","487"
"Soya Verduras","7500000000238","Verduras","2026-09-20","McCormick","93.76","39"
"Azucar Panaderia","7500000000239","Condimentos","2027-11-07","Quaker","83.07","235"
"Pan Conservas","7500000000240","Alimentos","2027-08-28","Nutrioli","474.5","121"
"Refresco Verduras","7500000000241","Desayuno","2027-09-21","Tampico","156.65","261"
"Carne Panaderia","7500000000242","Panaderia","2027-08-01","Brillante","15.39","125"
"Huevo Condimentos","7500000000243","Panaderia","2027-09-29","Heinz","231.18","155"
"Pan Conservas","7500000000244","Alimentos","2026-10-02","Activia","475.41","492"
"Platano Conservas","7500000000245","Alimentos","2027-01-29","Rosarita","278.03","247"
"Mayonesa Conservas","7500000000246","Conservas","2027-12-19","Heinz","41.92","198"
"Chiles Alimentos","7500000000247","Lacteos","2027-06-17","Brillante","71.62","75"
"Mostaza Bebidas","7500000000248","Desayuno","2027-02-23","McCormick","216.82","389"
"Vinagre Alimentos","7500000000249","Conservas","2027-01-16","Nutrioli","46.32","468"
"Mostaza Bebidas","7500000000250","Frutas","2026-09-16","Activia","288.4","394"
"Tomate Lacteos","7500000000251","Panaderia","2027-12-30","Quaker","119.55","230"
"Chiles Frutas","7500000000252","Alimentos","2026-08-20","Heinz","317.66","289"
"Harina Carnes","7500000000253","Conservas","2027-05-11","Activia","238.87","101"
"Frijoles Desayuno","7500000000254","Carnes","2027-10-03","Brillante","124.17","24"
"Aceite Desayuno","7500000000255","Bebidas","2027-07-07","Nutrioli","274.78","177"
"Queso Frutas","7500000000256","Panaderia","2027-07-11","Rosarita","135.89","50"
"Agua Carnes","7500000000257","Carnes","2027-10-25","Nutrioli","458.38","317"
"Zanahoria Frutas","7500000000258","Alimentos","2027-02-19","Activia","391.8","233"
"Naranja Conservas","7500000000259","Bebidas","2028-01-17","Heinz","204.77","340"
"Pan Conservas","7500000000260","Conservas","2028-01-15","Lala","81.29","59"
"Queso Carnes","7500000000261","Conservas","2026-07-25","Bimbo","284.27","37"
"Pimienta Desayuno","7500000000262","Conservas","2026-10-01","Activia","466.7","460"
"Zanahoria Alimentos","7500000000263","Condimentos","2027-08-24","Lala","67.78","136"
"Vinagre Carnes","7500000000264","Lacteos","2027-02-11","Quaker","446.81","47"
"Chocolate Verduras","7500000000265","Carnes","2027-08-28","Nescafe","452.77","55"
"Pan Alimentos","7500000000266","Carnes","2027-02-01","Heinz","299.93","282"
"Zanahoria Desayuno","7500000000267","Desayuno","2026-09-21","Rosarita","411.9","172"
"Mostaza Conservas","7500000000268","Condimentos","2028-03-08","Brillante","70.74","369"
"Soya Bebidas","7500000000269","Alimentos","2027-12-28","Activia","348.02","66"
"Huevo Verduras","7500000000270","Desayuno","2027-07-06","McCormick","481.45","147"
"Cafe Bebidas","7500000000271","Bebidas","2027-12-30","Nutrioli","199.75","448"
"Pollo Desayuno","7500000000272","Desayuno","2028-01-18","Tampico","172.59","119"
"Soya Frutas","7500000000273","Frutas","2027-08-22","Activia","133.33","452"
"Cerveza Carnes","7500000000274","Verduras","2028-03-20","Activia","68.11","30"
"Tomate Desayuno","7500000000275","Condimentos","2027-07-16","McCormick","491.67","454"
"Refresco Verduras","7500000000276","Alimentos","2028-01-15","Heinz","116.61","312"
"Pimienta Lacteos","7500000000277","Bebidas","2027-08-28","Quaker","468.93","196"
"Tomate Alimentos","7500000000278","Lacteos","2027-10-27","Nescafe","329.25","367"
"Sardina Lacteos","7500000000279","Condimentos","2026-12-23","Heinz","460.64","295"
"Pescado Desayuno","7500000000280","Alimentos","2028-03-13","Brillante","465.57","72"
"Huevo Bebidas","7500000000281","Panaderia","2026-10-18","Bimbo","76.4","78"
"Mantequilla Verduras","7500000000282","Alimentos","2026-12-15","Brillante","246.29","323"
"Avena Verduras","7500000000283","Carnes","2027-09-01","Heinz","416.98","164"
"Refresco Frutas","7500000000284","Carnes","2026-09-30","McCormick","260.06","270"
"Huevo Frutas","7500000000285","Carnes","2027-05-14","Activia","178.55","255"
"Arroz Carnes","7500000000286","Carnes","2028-01-28","Activia","177.76","455"
"Harina Alimentos","7500000000287","Frutas","2027-04-03","Quaker","428.24","155"
"Mayonesa Desayuno","7500000000288","Conservas","2027-03-01","Nescafe","34.25","449"
"Pimienta Conservas","7500000000289","Lacteos","2028-03-02","Tampico","467.05","469"
"Salsa Bebidas","7500000000290","Frutas","2026-08-01","Activia","263.58","362"
"Mantequilla Condimentos","7500000000291","Conservas","2028-01-02","Lala","438.67","456"
"Leche Conservas","7500000000292","Verduras","2027-10-04","Lala","197.86","254"
"Sal Lacteos","7500000000293","Panaderia","2027-07-05","Rosarita","302.54","440"
"Sardina Conservas","7500000000294","Desayuno","2027-08-31","Nescafe","153.57","116"
"Mostaza Panaderia","7500000000295","Condimentos","2027-11-22","Nescafe","438.95","21"
"Agua Lacteos","7500000000296","Frutas","2027-08-22","McCormick","182.83","372"
"Sardina Frutas","7500000000297","Panaderia","2026-08-30","Activia","463.87","266"
"Pescado Lacteos","7500000000298","Bebidas","2027-08-02","Lala","134.97","413"
"Zanahoria Frutas","7500000000299","Verduras","2028-02-20","Tampico","82.33","329"
"Azucar Panaderia","7500000000300","Frutas","2027-03-10","Activia","320.32","291"
"Crema Lacteos","7500000000301","Desayuno","2027-09-23","Heinz","32.21","153"
"Pescado Alimentos","7500000000302","Condimentos","2028-01-18","Heinz","441.83","274"
"Cafe Condimentos","7500000000303","Lacteos","2027-11-07","Brillante","198.55","462"
"Ajo Panaderia","7500000000304","Verduras","2027-05-12","Lala","29.82","65"
"Pollo Condimentos","7500000000305","Panaderia","2027-06-13","Heinz","289.22","371"
"Vinagre Condimentos","7500000000306","Desayuno","2028-03-24","Nutrioli","154.42","279"
"Manzana Carnes","7500000000307","Lacteos","2027-09-02","Heinz","64.82","377"
"Pimienta Carnes","7500000000308","Carnes","2027-02-15","Brillante","486.68","273"
"Sardina Carnes","7500000000309","Panaderia","2026-07-11","Nutrioli","257.87","111"
"Leche Conservas","7500000000310","Carnes","2027-11-03","Nutrioli","89.45","373"
"Huevo Bebidas","7500000000311","Panaderia","2026-08-11","McCormick","94.63","462"
"Cerveza Alimentos","7500000000312","Carnes","2027-10-14","Nutrioli","451.44","424"
"Aceite Frutas","7500000000313","Carnes","2027-02-03","Tampico","462.18","191"
"Sal Condimentos","7500000000314","Verduras","2027-08-24","Heinz","338.92","131"
"Mayonesa Lacteos","7500000000315","Desayuno","2027-12-27","Tampico","147.85","39"
"Galletas Conservas","7500000000316","Lacteos","2027-02-05","Rosarita","38.33","39"
"Pescado Desayuno","7500000000317","Bebidas","2027-12-07","Lala","470.87","33"
"Azucar Carnes","7500000000318","Panaderia","2026-12-26","Lala","301.83","306"
"Pimienta Condimentos","7500000000319","Lacteos","2027-09-14","Rosarita","253.4","419"
"Galletas Conservas","7500000000320","Desayuno","2027-09-21","Nutrioli","350.29","470"
"Jugo Frutas","7500000000321","Carnes","2027-07-13","Quaker","99.38","182"
"Limon Alimentos","7500000000322","Frutas","2027-02-10","Lala","276.35","476"
"Jugo Verduras","7500000000323","Lacteos","2026-10-20","Heinz","167.34","355"
"Leche Conservas","7500000000324","Panaderia","2027-12-09","Tampico","126.76","416"
"Ketchup Bebidas","7500000000325","Panaderia","2028-01-20","Lala","297.18","424"
"Harina Alimentos","7500000000326","Lacteos","2027-09-22","Activia","475.48","388"
"Yogurt Alimentos","7500000000327","Verduras","2027-02-15","Brillante","186.42","287"
"Carne Alimentos","7500000000328","Verduras","2026-10-01","Tampico","103.18","479"
"Soya Alimentos","7500000000329","Desayuno","2027-09-23","Nescafe","144.0","90"
"Mantequilla Lacteos","7500000000330","Conservas","2027-08-11","Rosarita","256.81","442"
"Ajo Lacteos","7500000000331","Desayuno","2027-06-27","Nescafe","195.27","368"
"Soya Conservas","7500000000332","Frutas","2027-12-04","Rosarita","417.6","19"
"Refresco Verduras","7500000000333","Panaderia","2026-10-30","Heinz","17.82","168"
"Soya Frutas","7500000000334","Panaderia","2027-02-09","Nescafe","379.4","495"
"Queso Desayuno","7500000000335","Panaderia","2027-09-05","Lala","113.48","107"
